Glycan,C5,C6,C_7
6-3-0-0-0 Protonated Ratio,1.62,1,N/A
6-3-0-0-0 All Adducts,216945396,121259296,N/A
6-3-0-0-0 All Ratio,1.79,1,N/A
6-3-1-0-0 Protonated,1373659000,1015616000,N/A
6-3-1-0-0 Protonated Ratio,1.35,1,N/A
6-3-1-0-0 All Adducts,1514136032,1150520336,N/A
6-3-1-0-0 All Ratio,1.32,1,N/A
6-3-2-0-0 Protonated,280957500,156030800,N/A
6-3-2-0-0 Protonated Ratio,1.8,1,N/A
6-3-2-0-0 All Adducts,280957504,156030752,N/A
6-3-2-0-0 All Ratio,1.8,1,N/A
6-4-0-0-0 Protonated,11131440,11589670,N/A
6-4-0-0-0 Protonated Ratio,1,1.04,N/A
6-4-0-0-0 All Adducts,16293257,11589674,N/A
6-4-0-0-0 All Ratio,1.41,1,N/A
6-4-0-1-0 Protonated,17924620,32021280,N/A
6-4-0-1-0 Protonated Ratio,1,1.79,N/A
6-4-0-1-0 All Adducts,17924624,37029646.5,N/A
6-4-0-1-0 All Ratio,1,2.07,N/A
6-4-1-0-0 Protonated,308258500,355837800,N/A
6-4-1-0-0 Protonated Ratio,1,1.15,N/A
6-4-1-0-0 All Adducts,308258528,419255396,N/A
6-4-1-0-0 All Ratio,1,1.36,N/A
6-4-1-1-0 Protonated,1666154000,1667645000,N/A
6-4-1-1-0 Protonated Ratio,1,1,N/A
6-4-1-1-0 All Adducts,2459538304,2077962240,N/A
6-4-1-1-0 All Ratio,1.18,1,N/A
6-5-0-0-0 Protonated,634327.1,370863.9,N/A
6-5-0-0-0 Protonated Ratio,1.71,1,N/A
6-5-0-0-0 All Adducts,634327.13,370863.91,N/A
6-5-0-0-0 All Ratio,1.71,1,N/A
6-5-0-1-0 Protonated,9569534,7978262,N/A
6-5-0-1-0 Protonated Ratio,1.2,1,N/A
6-5-0-1-0 All Adducts,11043613.25,7978261.5,N/A
6-5-0-1-0 All Ratio,1.38,1,N/A
6-5-0-2-0 Protonated,126259.1,55367.96,N/A
6-5-0-2-0 Protonated Ratio,2.28,1,N/A
6-5-0-2-0 All Adducts,126259.1,55367.96,N/A
6-5-0-2-0 All Ratio,2.28,1,N/A
6-5-1-0-0 Protonated,54928270,54486780,N/A
6-5-1-0-0 Protonated Ratio,1.01,1,N/A
6-5-1-0-0 All Adducts,68579428,54486780,N/A
6-5-1-0-0 All Ratio,1.26,1,N/A
6-5-1-1-0 Protonated,64666660,71364100,N/A
6-5-1-1-0 Protonated Ratio,1,1.1,N/A
6-5-1-1-0 All Adducts,71423448.5,71364096,N/A
6-5-1-1-0 All Ratio,1,1,N/A
6-5-1-2-0 Protonated,104816000,84822740,N/A
6-5-1-2-0 Protonated Ratio,1.24,1,N/A
6-5-1-2-0 All Adducts,104816048,84822744,N/A
6-5-1-2-0 All Ratio,1.24,1,N/A
6-6-0-0-0 Protonated,32495470,21715470,N/A
6-6-0-0-0 Protonated Ratio,1.5,1,N/A
6-6-0-0-0 All Adducts,47158626,21715474,N/A
6-6-0-0-0 All Ratio,2.17,1,N/A
6-6-0-1-0 Protonated,4016015,1081868,N/A
6-6-0-1-0 Protonated Ratio,3.71,1,N/A
6-6-0-1-0 All Adducts,4016015,9390438.25,N/A
6-6-0-1-0 All Ratio,1,2.34,N/A
6-6-0-2-0 Protonated,1759256,1056515,N/A
6-6-0-2-0 Protonated Ratio,1.67,1,N/A
6-6-0-2-0 All Adducts,1759256.25,1434241.45,N/A
6-6-0-2-0 All Ratio,1.23,1,N/A
6-6-0-3-0 Protonated,745166.4,323323.5,N/A
6-6-0-3-0 Protonated Ratio,2.3,1,N/A
6-6-0-3-0 All Adducts,2672355.38,1138907.79,N/A
6-6-0-3-0 All Ratio,2.35,1,N/A
6-6-1-0-0 Protonated,1522041,1392007,N/A
6-6-1-0-0 Protonated Ratio,1.09,1,N/A
6-6-1-0-0 All Adducts,1882464.56,1392007,N/A
6-6-1-0-0 All Ratio,1.35,1,N/A
6-6-1-1-0 Protonated,88371480,34521470,N/A
6-6-1-1-0 Protonated Ratio,2.56,1,N/A
6-6-1-1-0 All Adducts,88371480,34521468,N/A
6-6-1-1-0 All Ratio,2.56,1,N/A
6-6-1-2-0 Protonated,2933969,1300004,N/A
