Glycan,AD1,AD2,AD_4,AD3,AD_5
5-5-1-0-0 All Ratio,1.34,1,N/A,1.15,N/A
5-5-1-1-0 Protonated,5336342,19358940,N/A,14901810,N/A
5-5-1-1-0 Protonated Ratio,1,3.63,N/A,2.79,N/A
5-5-1-1-0 All Adducts,6289999.06,21347367.38,N/A,14901813,N/A
5-5-1-1-0 All Ratio,1,3.39,N/A,2.37,N/A
5-5-1-2-0 Protonated,137513600,75814720,N/A,104868400,N/A
5-5-1-2-0 Protonated Ratio,1.81,1,N/A,1.38,N/A
5-5-1-2-0 All Adducts,171620876,75814720,N/A,104868376,N/A
5-5-1-2-0 All Ratio,2.26,1,N/A,1.38,N/A
5-6-0-0-0 Protonated,56285.38,252523.1,N/A,612845.9,N/A
5-6-0-0-0 Protonated Ratio,1,4.49,N/A,10.89,N/A
5-6-0-0-0 All Adducts,56285.38,252523.09,N/A,612845.88,N/A
5-6-0-0-0 All Ratio,1,4.49,N/A,10.89,N/A
5-6-0-1-0 Protonated,5145452,9265638,N/A,1500525,N/A
5-6-0-1-0 Protonated Ratio,3.43,6.17,N/A,1,N/A
5-6-0-1-0 All Adducts,5145452,15561423,N/A,1500524.5,N/A
5-6-0-1-0 All Ratio,3.43,10.37,N/A,1,N/A
5-6-0-2-0 Protonated,8396909,13020770,N/A,10937550,N/A
5-6-0-2-0 Protonated Ratio,1,1.55,N/A,1.3,N/A
5-6-0-2-0 All Adducts,8396909,15092010,N/A,12130789.88,N/A
5-6-0-2-0 All Ratio,1,1.8,N/A,1.44,N/A
5-6-0-3-0 Protonated,1279864000,1647776000,N/A,995657900,N/A
5-6-0-3-0 Protonated Ratio,1.29,1.65,N/A,1,N/A
5-6-0-3-0 All Adducts,1424774464,1647776384,N/A,1115625456,N/A
5-6-0-3-0 All Ratio,1.28,1.48,N/A,1,N/A
5-6-0-4-0 Protonated,40247.56,41784.99,N/A,69146.09,N/A
5-6-0-4-0 Protonated Ratio,1,1.04,N/A,1.72,N/A
5-6-0-4-0 All Adducts,100164.6,41784.99,N/A,228463.48,N/A
5-6-0-4-0 All Ratio,2.4,1,N/A,5.47,N/A
5-6-1-0-0 Protonated,12309850,3327246,N/A,4354741,N/A
5-6-1-0-0 Protonated Ratio,3.7,1,N/A,1.31,N/A
5-6-1-0-0 All Adducts,12309849,4856704.25,N/A,4354740.5,N/A
