Glycan,C1,C2,C3,C_4,C_5
4-11-0-0-0 Protonated Ratio,5.76,1,2.1,N/A,N/A
4-11-0-0-0 All Adducts,42464.33,7374.24,15459.05,N/A,N/A
4-11-0-0-0 All Ratio,5.76,1,2.1,N/A,N/A
4-12-0-0-0 Protonated,127156.1,31345.56,16675.3,N/A,N/A
4-12-0-0-0 Protonated Ratio,7.63,1.88,1,N/A,N/A
4-12-0-0-0 All Adducts,127156.1,57396.52,16675.3,N/A,N/A
4-12-0-0-0 All Ratio,7.63,3.44,1,N/A,N/A
4-13-0-0-0 Protonated,544824.3,162627.4,137314.9,N/A,N/A
4-13-0-0-0 Protonated Ratio,3.97,1.18,1,N/A,N/A
4-13-0-0-0 All Adducts,544824.31,320114.17,1154124.83,N/A,N/A
4-13-0-0-0 All Ratio,1.7,1,3.61,N/A,N/A
4-14-0-0-0 Protonated,3203857,346847.8,47480.61,N/A,N/A
4-14-0-0-0 Protonated Ratio,67.48,7.31,1,N/A,N/A
4-14-0-0-0 All Adducts,3203857,346847.81,104537.77,N/A,N/A
4-14-0-0-0 All Ratio,30.65,3.32,1,N/A,N/A
4-15-0-0-0 Protonated,30875.17,39416.87,22045.49,N/A,N/A
4-15-0-0-0 Protonated Ratio,1.4,1.79,1,N/A,N/A
4-15-0-0-0 All Adducts,40860.22,39416.87,22045.49,N/A,N/A
4-15-0-0-0 All Ratio,1.85,1.79,1,N/A,N/A
4-16-0-0-0 Protonated,659135.3,1491810,323026.9,N/A,N/A
4-16-0-0-0 Protonated Ratio,2.04,4.62,1,N/A,N/A
4-16-0-0-0 All Adducts,826064.63,1668169.19,943313.8,N/A,N/A
4-16-0-0-0 All Ratio,1,2.02,1.14,N/A,N/A
4-17-0-0-0 Protonated,3477722,295379.5,217297.1,N/A,N/A
4-17-0-0-0 Protonated Ratio,16,1.36,1,N/A,N/A
4-17-0-0-0 All Adducts,3477722.25,358311.69,258115.51,N/A,N/A
4-17-0-0-0 All Ratio,13.47,1.39,1,N/A,N/A
4-18-0-0-0 Protonated,16729.98,43091.63,13889.87,N/A,N/A
4-18-0-0-0 Protonated Ratio,1.2,3.1,1,N/A,N/A
4-18-0-0-0 All Adducts,16729.98,43091.63,13889.87,N/A,N/A
